,0
0,W-A-01 2023-07-05  2023-07-31  2023-08-03  2023-08-15  2023-09-03  2023-09-25  2023-10-03  2023-10-11  2023-10-27  2023-11-19  2023-11-25  2023-12-06  2023-12-24  2023-12-26  
1,W-A-05 2023-07-12  2023-08-03  2023-08-08  2023-08-15  2023-08-17  2023-09-15  2023-09-25  2023-10-12  2023-10-21  2023-11-08  2023-11-12  2023-11-17  2023-11-24  2023-12-05  2023-12-13  2023-12-27  
2,W-A-06 2023-07-14  2023-07-16  2023-07-25  2023-08-07  2023-08-17  2023-08-23  2023-08-26  2023-08-31  2023-09-07  2023-09-09  2023-10-03  2023-10-05  2023-10-18  2023-10-30  2023-11-08  2023-11-18  2023-12-06  
3,W-A-07 2023-07-09  2023-07-24  2023-08-13  2023-09-19  2023-09-26  2023-12-13  2023-12-15  2023-12-19  2023-12-23  2023-12-30  
4,W-A-08S 2023-07-06  2023-07-12  2023-07-21  2023-07-28  2023-08-01  2023-08-11  2023-08-17  2023-08-30  2023-10-13  2023-10-19  2023-10-21  2023-11-12  2023-11-28  2023-12-01  2023-12-16  
5,W-A-10S 2023-07-11  2023-07-14  2023-07-25  2023-08-03  2023-08-24  2023-09-13  2023-09-17  2023-10-23  2023-11-01  2023-11-07  2023-11-28  2023-12-01  2023-12-14  2023-12-27  
6,W-A-11S 2023-07-08  2023-07-18  2023-07-25  2023-08-10  2023-08-25  2023-09-02  2023-09-15  2023-10-13  2023-11-11  2023-11-22  2023-12-10  
7,W-A-15S 2023-07-06  2023-07-08  2023-07-21  2023-07-26  2023-08-06  2023-08-13  2023-08-20  2023-09-01  2023-09-17  2023-09-28  2023-10-13  2023-10-18  2023-10-20  2023-11-14  2023-11-25  2023-12-07  2023-12-12  2023-12-14  2023-12-20  2023-12-24  
8,W-A-19 2023-07-11  2023-07-23  2023-08-06  2023-08-15  2023-08-17  2023-08-23  2023-08-27  2023-09-01  2023-09-13  2023-09-16  2023-09-22  2023-09-25  2023-10-14  2023-10-21  2023-10-28  2023-11-01  2023-11-09  2023-12-16  2023-12-20  
9,W-A-27L 2023-07-29  2023-08-06  2023-09-01  2023-09-07  2023-09-21  2023-09-23  2023-09-28  2023-10-08  2023-11-14  2023-11-27  2023-12-07  2023-12-12  
10,W-A-27S 2023-07-11  2023-07-26  2023-08-31  2023-09-08  2023-09-19  2023-09-24  2023-10-10  2023-10-16  2023-11-02  2023-11-14  2023-12-08  
11,W-B-01L 2023-07-09  2023-07-11  2023-07-13  2023-07-28  2023-08-08  2023-08-12  2023-08-14  2023-08-16  2023-09-19  2023-09-26  2023-12-21  2023-12-30  
12,W-B-01S 2023-07-21  2023-07-27  2023-08-01  2023-08-03  2023-08-05  2023-08-11  2023-08-21  2023-09-13  2023-10-13  2023-10-30  2023-11-09  2023-11-21  2023-11-26  2023-11-30  2023-12-02  2023-12-07  2023-12-17  2023-12-25  
